run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
54,"([20, 84, 189, 201], np.float64(0.12140113082431551))","([20], np.float64(28.112068325245456))","([20, 84, 189, 201], np.float64(0.03342947505613042))","([20, 84, 189, 201], np.float64(0.03352957566078706))"
55,"([37, 211, 230, 245], np.float64(0.3681750620203401))","([37, 211, 230, 245], np.float64(0.37074395633627866))","([37, 211, 230, 245], np.float64(0.0631458458675343))","([37, 211, 230, 245], np.float64(0.06307431025452684))"
56,"([11, 55, 227, 229], np.float64(0.5083817691554599))","([11, 55, 227, 229], np.float64(0.18151314002443159))","([11, 55, 227, 229], np.float64(0.1737646632441815))","([11, 55, 227, 229], np.float64(0.17363826077403421))"
57,"([41, 119, 173, 248], np.float64(0.4278860099145016))","([41, 119, 173, 248], np.float64(0.18684380344103665))","([41, 119, 173, 248], np.float64(0.0382205532059005))","([41, 119, 173, 248], np.float64(0.03829386744890086))"
58,"([32, 66, 134, 239], np.float64(0.34994277698907333))","([32, 66, 134, 239], np.float64(0.36208580842509297))","([32, 66, 134, 239], np.float64(0.110923297762791))","([32, 66, 134, 239], np.float64(0.11114038066887655))"
59,"([68, 85, 159, 178], np.float64(0.2807979941562038))","([68, 85, 159, 178], np.float64(0.19155404972249818))","([68, 85, 159, 178], np.float64(0.05651813905131786))","([68, 85, 159, 178], np.float64(0.05685044779012893))"
60,"([16, 74, 92, 154], np.float64(0.08368486948286596))","([16, 74, 92, 154], np.float64(0.0680398020072723))","([16, 74, 92, 154], np.float64(0.04657039228299))","([16, 74, 92, 154], np.float64(0.045288917877069575))"
61,"([30, 37, 78, 207], np.float64(0.6231160064120002))","([30, 37, 78, 207], np.float64(0.17411623372265225))","([30, 37, 78, 207], np.float64(0.040817285404619055))","([30, 37, 78, 207], np.float64(0.04230702351435327))"
62,"([121, 130, 143, 204], np.float64(0.15831116310901364))","([121, 130, 143, 204], np.float64(0.11401862857908393))","([121, 130, 143, 204], np.float64(0.08100457945211705))","([121, 130, 143, 204], np.float64(0.08324557711561402))"
63,"([8, 95, 140, 200], np.float64(0.1903026789678866))","([8, 95, 200], np.float64(9.37991645798875))","([8, 95, 140, 200], np.float64(0.03386694983196393))","([8, 95, 140, 200], np.float64(0.034653423325295106))"
64,"([127, 138, 182, 213], np.float64(0.3742878842967314))","([127, 138, 213], np.float64(9.95504989993717))","([127, 138, 182, 213], np.float64(0.20585767014771877))","([127, 138, 182, 213], np.float64(0.20943031989517802))"
65,"([22, 181, 185, 223], np.float64(0.7077514784790557))","([22, 181, 185, 223], np.float64(0.0387775263158906))","([22, 181, 185, 223], np.float64(0.013736581837774368))","([22, 181, 185, 223], np.float64(0.013017000349745216))"
66,"([106, 158, 199, 247], np.float64(0.91417040146254))","([106, 158, 199, 247], np.float64(0.22494121832555017))","([106, 158, 199, 247], np.float64(0.11955172781302544))","([106, 158, 199, 247], np.float64(0.11684993217864678))"
67,"([63, 64, 87, 221], np.float64(0.14347281028940528))","([63, 64, 87, 221], np.float64(0.05410286664552827))","([63, 64, 87, 221], np.float64(0.053291734260113084))","([63, 64, 87, 168, 221], np.float64(0.06981373572075372))"
68,"([107, 136, 138, 148], np.float64(0.09956680304543565))","([107, 136, 138, 148], np.float64(0.14475389056157575))","([107, 136, 138, 148], np.float64(0.043405513397555634))","([107, 136, 138, 148], np.float64(0.04189217171385189))"
